name,slug,description,assets,facets,optionGroups,optionValues,sku,price,taxCategory,stockOnHand,trackInventory,variantAssets,variantFacets
Classic Solitaire Round Diamond Engagement Ring,solitaire-round-diamond-engagement-ring,"A timeless solitaire engagement ring featuring a stunning round brilliant diamond set in a classic four-prong setting. Available in white gold, yellow gold, rose gold, and platinum. Perfect for the modern proposal.",,category:Rings|type:Engagement Ring|shape:Round|style:Solitaire,Metal|Ring Size,White Gold|6,ENG-SOL-RD-WG-6,149900,standard,5,true,,metal:White Gold
,,,,,,"White Gold|7",ENG-SOL-RD-WG-7,149900,standard,5,true,,metal:White Gold
,,,,,,"White Gold|8",ENG-SOL-RD-WG-8,149900,standard,5,true,,metal:White Gold
,,,,,,"Yellow Gold|6",ENG-SOL-RD-YG-6,149900,standard,5,true,,metal:Yellow Gold
,,,,,,"Yellow Gold|7",ENG-SOL-RD-YG-7,149900,standard,5,true,,metal:Yellow Gold
,,,,,,"Yellow Gold|8",ENG-SOL-RD-YG-8,149900,standard,5,true,,metal:Yellow Gold
,,,,,,"Rose Gold|6",ENG-SOL-RD-RG-6,149900,standard,5,true,,metal:Rose Gold
,,,,,,"Rose Gold|7",ENG-SOL-RD-RG-7,149900,standard,5,true,,metal:Rose Gold
,,,,,,"Rose Gold|8",ENG-SOL-RD-RG-8,149900,standard,5,true,,metal:Rose Gold
,,,,,,"Platinum|6",ENG-SOL-RD-PT-6,189900,standard,3,true,,metal:Platinum
,,,,,,"Platinum|7",ENG-SOL-RD-PT-7,189900,standard,3,true,,metal:Platinum
,,,,,,"Platinum|8",ENG-SOL-RD-PT-8,189900,standard,3,true,,metal:Platinum
Cushion Cut Halo Diamond Engagement Ring,cushion-halo-diamond-engagement-ring,"A breathtaking halo engagement ring featuring a cushion cut center diamond surrounded by a shimmering halo of accent diamonds. Available in multiple metals. The perfect choice for maximum sparkle.",,category:Rings|type:Engagement Ring|shape:Cushion|style:Halo,Metal|Ring Size,White Gold|6,ENG-HALO-CU-WG-6,229900,standard,5,true,,metal:White Gold
,,,,,,"White Gold|7",ENG-HALO-CU-WG-7,229900,standard,5,true,,metal:White Gold
,,,,,,"White Gold|8",ENG-HALO-CU-WG-8,229900,standard,5,true,,metal:White Gold
,,,,,,"Yellow Gold|6",ENG-HALO-CU-YG-6,229900,standard,5,true,,metal:Yellow Gold
